Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Bradley Mazikou,CSO,UEL,D,4,360,4,0,0,0,0,0,0,0,0,0,0,2,0,3,8,5,4,1,4,0,2,8,3,2,9,116,132,5,4,21,7,28,0,0,1,0,0,1,0,0,0,0,4,0,222,3,21,14,53,0,8,0,35,5,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,6,6,0,3,0,0,1,0,0,8
Anatolii Trubin,DON,UEL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104,146,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,1,0,8,0,1,0,43,9,0,0,0,0,0,0,0,0,0,0,0,0,5,2,11,8,2,2,0,0,0,2,2,0,16,0,0,0,0,0,0
Georginio Wijnaldum,NED,EURO,M,4,360,4,0,0,0,0,0,3,0,0,0,0,10,4,3,1,0,2,1,2,0,1,7,4,4,6,103,118,0,3,24,5,21,0,0,7,4,3,3,0,0,0,0,10,0,185,13,44,25,75,0,4,0,39,4,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,8
Ruben Dias,POR,EURO,D,4,360,4,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,2,5,3,4,2,297,326,0,5,23,0,12,0,0,1,1,0,0,0,0,0,0,0,1,360,5,15,12,94,0,7,0,30,44,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,13,13,0,25,0,0,0,0,0,1
Illia Zabarnyi,KIE,UEL,D,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,3,1,1,8,216,247,0,5,23,1,17,0,0,0,0,0,0,0,0,0,0,0,0,289,3,17,10,58,0,3,0,32,34,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,11,11,0,21,0,0,0,0,0,1
Ferran Torres,MCI,UCL,F,6,360,4,2,2,0,0,0,4,0,0,0,0,13,5,3,1,0,7,0,7,0,0,4,2,1,5,55,68,0,5,9,7,21,0,0,9,5,4,4,0,0,0,0,3,0,122,25,25,10,34,0,8,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,3,1,3,9
Taras Kacharaba,LIB,UEL,D,4,360,4,0,0,0,0,0,1,0,0,0,0,1,1,10,0,0,0,0,0,0,1,5,5,1,5,57,84,0,11,15,0,20,0,0,1,1,1,0,0,0,0,0,0,0,145,1,16,9,23,0,3,0,30,19,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,30,30,0,18,0,0,0,0,1,1
Jesper Hansen,FCM,UCL,G,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,105,187,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,223,0,7,0,31,0,0,0,82,31,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21,17,4,1,0,0,0,2,2,0,46,0,0,0,0,0,0
Florian Flick,S04,BUND,M/D,4,360,4,0,0,1,0,0,1,0,0,0,0,1,1,7,1,0,0,0,0,0,3,10,7,4,2,73,94,0,2,26,0,14,0,1,1,1,1,0,0,0,0,0,1,0,140,1,9,24,26,0,1,0,28,10,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,5,5,0,7,0,0,0,0,1,3
Pepe,POR,EURO,D,4,360,4,0,0,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,6,6,2,4,252,282,0,2,27,0,12,0,0,1,1,0,0,0,0,0,0,0,0,318,3,15,12,96,0,9,0,35,50,0,0,0,0,0,0,0,0,3,0,0,0,7,1,0,0,0,0,0,0,0,6,6,0,30,0,0,0,0,0,0
