Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Bartosz Bialkowski,MIL,EFL,G,46,4140,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,414,946,0,10,338,0,17,1,0,0,0,0,0,0,0,0,0,0,0,1301,0,42,1,212,0,4,0,537,213,0,0,0,0,0,0,0,0,0,0,0,0,52,17,122,73,46,6,0,4,1,25,25,16,269,0,0,0,0,0,0
Yoann Barbet,QPR,EFL,D,46,4140,46,0,0,7,0,0,2,2,0,2,0,39,9,105,51,13,15,4,13,0,29,46,26,40,32,2004,2567,12,129,254,17,222,1,0,25,8,2,14,1,0,0,0,4,2,3283,42,271,170,713,15,83,1,656,383,0,0,0,0,0,0,7,7,10,3,0,0,55,14,0,0,0,0,1,0,0,200,200,0,323,0,0,0,2,1,20
Mads Juel Andersen,BAR,EFL,D,46,4118,46,0,0,8,1,1,1,5,0,2,3,26,9,113,9,0,13,6,8,0,13,71,54,78,27,1016,1844,0,308,282,12,417,1,1,25,9,1,1,0,0,0,0,5,0,2536,74,183,269,448,6,65,1,887,212,0,0,0,0,0,0,0,0,7,0,0,0,49,14,0,0,0,0,0,0,0,242,242,0,114,0,0,4,1,1,12
Paddy McNair,MID,EFL,M/D,46,4090,46,0,2,7,0,1,2,7,1,2,5,37,10,59,217,46,49,8,20,22,17,85,62,35,95,1337,1841,15,91,329,22,289,1,0,12,6,2,25,4,0,0,0,18,0,2686,35,427,156,748,3,279,1,768,171,0,0,0,0,73,16,111,89,37,10,2,0,53,12,0,0,0,0,1,0,0,86,86,0,194,1,0,0,1,1,32
Barry Bannan,SHW,EFL,M,46,4015,46,0,7,9,0,0,2,5,0,2,3,42,13,54,259,59,81,11,39,37,6,62,36,30,25,1877,2435,13,13,353,69,169,0,0,12,7,2,30,6,0,0,0,31,0,3223,33,577,158,1050,12,420,0,889,205,3,2,0,1,65,13,145,126,32,4,0,0,58,10,0,0,0,0,0,0,0,23,23,0,239,3,0,2,2,2,91
Brice Samba,NOT,EFL,G,45,4050,45,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,1,1,9,713,1316,0,22,430,0,28,2,4,0,0,0,0,0,0,0,0,1,0,1765,0,69,2,198,0,24,0,616,204,0,0,0,0,0,0,0,0,1,0,0,0,43,14,114,70,43,5,1,6,1,38,38,24,309,0,0,0,0,0,0
Rafael,REA,EFL,G,45,4050,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,3,926,1423,0,11,337,1,16,4,1,0,0,0,0,0,0,0,0,1,0,1746,0,36,6,160,0,16,0,506,160,0,0,0,0,0,0,0,0,1,0,0,0,52,17,103,63,39,4,0,5,2,26,26,11,275,0,0,0,0,0,1
Asmir Begovic,BOU,EFL,G,45,4050,45,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,6,806,1147,0,16,345,0,20,2,0,0,0,0,0,0,0,0,0,0,0,1623,0,24,4,103,0,7,0,351,109,0,0,0,0,0,0,0,0,1,0,0,0,44,15,120,64,54,8,1,5,1,40,40,19,180,0,0,0,0,0,0
Freddie Woodman,SWA,EFL,G,45,4050,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,754,1232,0,8,402,0,15,1,4,0,0,0,0,0,0,0,0,0,0,1613,0,24,2,114,0,6,0,485,116,0,0,0,0,0,0,0,0,0,0,0,0,38,20,98,71,27,16,0,3,1,26,26,14,285,0,0,0,0,0,0
Max Aarons,NOR,EFL,D,45,4047,45,0,3,5,0,0,2,2,0,2,0,28,8,39,132,35,61,5,59,0,9,31,18,21,65,1745,2102,35,37,232,61,194,0,0,18,7,2,10,1,0,0,2,27,0,3202,132,540,169,871,22,164,0,647,67,0,0,0,0,0,0,1,0,26,0,0,0,35,17,0,0,0,0,0,0,0,79,79,0,102,2,0,4,1,1,107
Josh Laurent,REA,EFL,M,45,3998,45,0,4,4,0,0,3,3,0,3,0,30,13,65,15,2,24,3,19,2,16,91,58,58,30,1941,2321,2,66,351,42,228,0,0,11,6,2,19,7,1,0,1,43,0,2952,44,352,244,886,14,60,0,531,220,0,0,0,0,1,0,1,0,9,0,0,0,54,14,0,0,0,0,0,0,0,42,42,0,98,1,0,3,1,1,73
Cyrus Christie,NOT,EFL,D,44,3956,44,0,1,3,0,0,0,3,0,3,0,27,7,69,160,27,42,3,38,1,25,77,46,34,27,1407,1902,27,87,219,43,231,0,2,12,3,0,15,4,0,2,0,16,0,3132,42,395,167,771,18,213,0,892,183,0,0,0,0,0,0,0,0,39,0,0,0,41,14,0,0,0,0,1,0,0,96,96,0,81,0,0,0,0,0,71
Curtis Nelson,CAR,EFL,D,44,3942,44,0,1,6,0,0,1,0,0,0,0,22,7,60,5,2,9,0,8,1,39,45,32,44,24,1014,1548,2,259,206,1,328,0,0,22,7,1,0,0,0,0,0,3,0,2183,43,120,158,345,9,30,0,640,210,0,0,0,0,0,0,0,0,4,0,0,0,48,13,0,0,0,0,1,0,0,191,191,0,124,0,0,3,3,1,3
Ivan Toney,BRE,EFL,F,45,3861,44,1,11,7,1,1,31,10,0,9,1,135,57,8,20,4,47,10,37,0,5,28,13,100,105,555,849,4,147,99,23,303,0,0,106,51,31,29,6,0,0,0,35,0,1528,217,242,325,399,1,59,0,497,27,9,9,0,0,0,0,1,0,26,4,1,0,36,9,0,0,0,0,0,0,0,37,37,0,14,3,0,26,10,27,54
Oliver Skipp,NOR,EFL,M,45,3859,44,1,9,7,0,0,1,1,0,1,0,7,1,50,15,5,27,3,26,0,21,100,56,51,68,2208,2509,5,62,240,26,255,0,0,2,1,1,5,0,0,0,1,19,0,3066,13,441,202,1026,10,48,0,398,190,0,0,0,0,0,0,0,0,5,0,0,0,34,14,0,0,0,0,1,0,0,44,44,0,107,3,0,1,0,1,40
Alex Mowatt,BAR,EFL,M,44,3841,44,0,10,6,0,1,8,7,1,4,3,79,19,37,191,40,66,9,40,19,8,76,35,39,50,1218,1893,16,71,318,21,215,0,0,15,6,3,64,13,5,0,0,27,0,2641,45,524,176,889,0,364,0,919,132,1,1,0,0,46,14,74,66,39,11,3,1,45,13,0,0,0,0,0,0,0,55,55,0,105,1,0,2,1,2,29
Jed Wallace,MIL,EFL,M,45,3837,44,1,21,3,0,0,11,5,0,4,1,80,27,15,277,79,85,11,51,29,0,46,29,41,44,1105,1483,40,12,252,79,181,0,0,37,15,10,43,12,1,2,0,46,0,2419,104,419,255,775,2,327,0,832,65,3,3,0,0,45,15,92,86,46,14,5,1,48,6,0,0,0,0,0,0,0,9,9,0,97,0,0,14,7,7,144
Connor Roberts,SWA,EFL,D,46,3926,43,3,0,6,0,0,5,7,0,5,2,28,12,51,223,47,84,7,54,23,23,33,20,36,76,1377,1837,29,43,206,11,162,1,0,17,11,5,11,1,0,0,0,22,0,3067,72,536,134,908,16,387,1,971,152,0,0,0,0,30,8,88,69,44,2,1,0,38,18,0,0,0,0,2,0,0,59,59,0,100,2,0,6,3,0,19
Neil Etheridge,BIR,EFL,G,43,3870,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,2,1,1,2,513,1156,0,13,400,1,18,2,0,0,0,0,0,0,0,0,0,0,0,1510,0,134,3,299,0,31,0,659,306,0,0,0,0,0,0,0,0,1,0,0,0,52,13,102,59,42,19,1,9,3,41,41,13,346,0,0,0,0,0,1
Dominic Hyam,COV,EFL,D,43,3870,43,0,0,3,0,0,3,0,0,0,0,18,6,63,1,0,2,0,2,0,23,52,32,19,32,1529,2053,0,150,211,3,234,0,1,18,6,3,0,0,0,0,0,3,0,2556,38,111,160,446,21,20,1,551,249,0,0,0,0,0,0,0,0,2,0,0,0,54,13,0,0,0,0,1,0,0,183,183,0,141,0,0,5,1,2,4
Daniel Bentley,BRC,EFL,G,43,3870,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,673,1325,0,19,374,1,27,2,1,0,0,0,0,0,0,0,0,0,0,1759,0,98,2,275,0,14,0,671,280,0,0,0,0,0,0,0,0,0,0,0,0,62,9,120,84,35,9,0,5,1,49,49,25,366,0,0,0,0,0,1
Thomas Kaminski,BBR,EFL,G,43,3870,43,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,6,987,1563,0,20,414,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,48,5,192,0,10,0,593,194,0,0,0,0,0,0,0,0,0,0,0,0,48,10,99,69,30,14,1,4,0,45,45,20,298,0,0,0,0,0,0
Robert Dickie,QPR,EFL,D,43,3806,43,0,0,9,0,1,3,1,1,1,0,23,9,78,21,6,15,2,14,0,32,54,31,44,69,1938,2476,6,212,268,21,350,0,0,20,7,2,3,2,1,0,1,14,0,3097,38,181,172,547,4,64,3,613,291,0,0,0,0,0,0,0,0,1,0,0,0,47,14,0,0,0,0,1,0,0,172,172,0,134,0,0,1,0,1,24
Michal Helik,BAR,EFL,D,43,3751,43,0,2,5,0,1,5,1,0,0,1,24,9,102,2,0,13,1,12,0,16,77,48,54,32,712,1351,0,262,199,2,370,0,1,24,9,5,0,0,0,0,1,2,0,1979,78,82,222,235,4,27,0,669,163,0,0,0,0,0,0,0,0,8,0,0,0,44,13,0,0,0,0,1,0,0,234,234,0,93,0,0,0,6,5,3
Ilias Chair,QPR,EFL,M,45,3520,43,2,25,6,0,0,8,4,2,3,1,85,28,12,265,69,70,7,35,31,3,37,22,45,30,1205,1444,20,13,180,48,128,0,0,53,20,7,32,8,1,2,0,55,0,2218,149,538,188,889,4,316,0,632,44,0,0,0,0,37,8,171,127,37,4,1,0,42,7,0,0,0,0,0,0,0,4,4,0,49,2,0,23,6,4,68
Matt Grimes,SWA,EFL,M,45,3876,42,3,1,5,0,0,2,3,0,2,1,43,11,66,115,27,38,6,19,16,18,93,43,48,38,1974,2503,11,81,319,26,237,1,0,4,0,0,39,11,2,1,0,20,1,3163,13,562,217,1107,12,184,0,701,229,0,0,0,0,19,4,79,62,13,4,2,0,36,19,0,0,0,0,0,0,0,59,59,0,161,2,0,0,0,0,37
David Raya,BRE,EFL,G,42,3780,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,1329,1762,0,11,467,2,19,3,0,0,0,0,0,0,0,0,0,0,1,2278,1,75,2,177,0,18,0,450,178,0,0,0,0,0,0,0,0,1,0,0,0,36,16,92,61,30,19,0,4,0,43,43,19,317,0,0,0,0,0,2
Grant Hanley,NOR,EFL,D,42,3780,42,0,0,3,0,0,1,0,0,0,0,26,6,77,1,1,6,2,6,0,28,38,18,39,61,2570,2884,1,181,193,9,287,0,2,26,6,1,0,0,0,0,0,8,0,3445,38,116,137,552,2,6,1,352,262,0,0,0,0,0,0,0,0,1,0,0,0,32,17,0,0,0,0,2,0,0,211,211,0,114,0,1,2,0,1,10
Michael Ihiekwe,ROT,EFL,D,42,3777,42,0,2,12,0,0,2,1,0,1,0,40,8,78,24,2,21,4,19,0,17,57,45,51,46,690,1275,2,247,198,6,355,1,2,37,8,2,3,0,0,0,1,5,1,1911,107,140,218,313,6,51,1,661,152,0,0,0,0,0,0,0,0,7,0,0,0,55,9,0,0,0,0,1,0,0,169,169,0,72,0,0,4,1,1,9
Harlee Dean,BIR,EFL,D,43,3771,42,1,0,6,1,1,4,0,0,0,0,38,9,57,15,5,8,1,8,0,31,29,19,37,28,938,1464,5,249,188,11,312,1,1,30,9,4,8,0,0,0,0,13,0,2034,62,156,194,363,5,52,3,634,181,0,0,0,0,0,0,0,0,3,0,0,0,50,14,0,0,0,0,2,0,0,153,153,0,129,0,0,2,0,0,17
Timothy Dieng,QPR,EFL,G,42,3748,42,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,1,0,1,9,841,1319,0,25,440,0,31,1,1,0,0,0,0,0,0,0,0,0,0,1791,0,54,3,185,0,17,0,494,186,0,0,0,0,0,0,0,0,0,0,0,0,52,11,121,83,38,7,0,7,1,28,28,17,292,0,0,0,0,0,0
Jake Cooper,MIL,EFL,D,42,3713,42,0,1,5,0,0,1,2,1,0,2,35,8,63,15,4,16,2,14,0,32,45,25,53,37,1269,1800,4,221,187,11,311,1,1,33,8,1,2,0,0,0,0,5,1,2392,83,206,144,481,6,49,0,603,230,0,0,0,0,0,0,0,0,10,1,0,0,47,15,0,0,0,0,0,0,0,180,180,0,135,0,0,5,0,0,14
Matt Clarke,DER,EFL,D,42,3687,42,0,2,3,0,0,0,0,0,0,0,37,12,58,4,1,10,1,10,0,19,60,38,29,33,1725,2196,1,236,214,15,342,0,1,37,12,0,0,0,0,0,0,5,1,2711,80,193,138,500,2,30,0,502,248,0,0,0,0,0,0,0,0,5,0,0,0,46,12,0,0,0,0,0,0,0,179,179,0,183,0,0,1,4,0,17
Steve Cook,BOU,EFL,D,42,3653,42,0,2,4,0,1,0,2,0,1,1,18,3,58,3,0,10,1,8,0,32,26,14,26,25,1934,2445,0,171,223,5,226,2,3,15,3,0,3,0,0,0,0,2,0,2898,34,126,109,498,4,45,4,549,310,0,0,0,0,0,0,0,0,2,0,0,0,41,13,0,0,0,0,1,0,0,173,173,0,225,0,0,0,0,0,6
Jamal Lowe,SWA,EFL,M,46,3456,42,4,29,3,0,0,14,0,0,0,0,83,39,10,43,7,25,4,25,0,2,38,23,92,64,568,826,7,68,162,43,212,0,0,63,32,13,20,7,1,0,0,70,0,1505,169,288,374,437,4,70,0,559,18,1,1,0,0,0,0,2,0,38,0,0,0,30,6,0,0,0,0,0,0,0,10,10,0,12,3,0,39,9,9,81
Wes Harding,ROT,EFL,D,46,3734,41,5,8,3,0,0,0,4,0,3,1,10,1,88,105,24,28,5,22,2,8,60,39,37,19,579,1040,24,75,197,14,168,1,1,6,0,0,4,1,0,0,0,18,0,2188,29,201,172,422,12,239,1,837,180,0,0,0,0,2,0,0,0,15,0,0,0,53,7,0,0,0,0,0,0,0,96,96,0,88,1,0,0,1,0,36
Marcus Bettinelli,MID,EFL,G,41,3690,41,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,437,1281,0,8,292,0,11,0,3,0,0,0,0,0,0,0,0,0,0,1460,0,92,3,280,0,24,0,850,285,0,0,0,0,0,0,0,0,1,0,0,0,45,13,77,45,31,11,1,5,0,21,21,8,336,0,0,0,0,0,0
Andre Ayew,SWA,EFL,F/M,43,3653,41,2,4,5,0,0,16,4,0,4,0,97,38,9,38,4,36,6,32,0,6,32,13,37,72,794,1113,4,124,119,67,293,0,1,71,33,14,26,5,2,0,0,77,0,1864,197,377,428,570,1,71,1,598,23,5,5,0,0,0,0,1,0,44,2,1,0,32,17,0,0,0,0,0,0,0,64,64,0,20,0,0,24,5,10,109
Andrew Ferai Rinomhota,REA,EFL,M,42,3642,41,1,6,4,0,0,1,3,0,3,0,17,3,46,16,2,17,2,14,0,8,80,46,52,86,1401,1664,2,44,231,22,231,1,0,10,2,0,7,1,1,0,0,21,0,2182,35,285,169,703,4,31,1,361,116,0,0,0,0,0,0,0,0,15,0,0,0,46,13,0,0,0,0,0,0,0,45,45,0,56,1,0,1,2,0,32
Mouhamadou-Naby Sarr,HUD,EFL,D,41,3641,41,0,2,4,0,1,4,0,0,0,0,18,6,52,8,0,8,1,8,0,41,30,18,34,23,2064,2595,0,128,220,13,192,3,1,17,6,4,1,0,0,1,0,10,0,3120,30,275,133,745,6,46,6,582,330,0,0,0,0,0,0,0,0,2,1,0,0,62,11,0,0,0,0,2,0,0,203,203,0,218,0,1,4,4,3,19
Darragh Lenihan,BBR,EFL,D,41,3636,41,0,0,8,0,1,0,1,0,0,1,22,5,64,9,3,9,0,8,0,32,47,27,55,35,1955,2544,3,196,298,5,282,0,0,20,4,0,2,1,0,0,0,7,1,3015,38,148,170,482,3,53,2,628,322,0,0,0,0,0,0,0,0,3,0,0,0,46,10,0,0,0,0,2,0,0,147,147,0,212,0,0,3,2,0,6
Marc Bola,MID,EFL,D,41,3612,41,0,6,7,0,0,1,1,0,0,1,21,4,69,128,16,30,5,24,5,12,62,40,38,44,861,1275,13,86,220,31,221,1,0,6,1,0,15,3,1,0,0,13,0,2372,29,351,134,589,11,140,0,765,115,0,0,0,0,4,1,26,19,17,0,0,0,48,11,0,0,0,0,1,0,0,72,72,0,97,0,0,4,0,0,50
Jason Knight,DER,EFL,M,43,3584,41,2,9,5,0,0,2,0,0,0,0,33,8,37,52,12,25,0,24,1,3,65,38,51,93,1107,1387,12,69,226,32,257,0,0,11,3,2,22,5,0,0,0,40,0,2022,47,321,247,628,2,63,0,486,61,0,0,0,0,0,0,0,0,18,0,0,0,45,8,0,0,0,0,1,0,0,25,25,0,40,0,0,3,1,2,57
Graeme Shinnie,DER,EFL,D,41,3353,41,0,18,9,0,0,3,1,0,1,0,35,12,49,101,40,45,3,24,20,7,85,51,49,59,1168,1487,7,52,245,35,230,0,0,15,8,3,20,4,0,0,0,31,0,2153,24,272,182,651,4,154,0,492,97,2,2,0,0,32,14,41,41,7,0,0,0,43,9,0,0,0,0,0,0,0,48,48,0,66,0,0,0,1,2,46
Cauley Woodrow,BAR,EFL,F,42,3284,41,1,22,8,0,0,12,5,0,4,1,113,34,12,32,4,46,3,39,2,2,23,9,78,46,673,1075,3,118,147,19,204,0,0,70,21,12,43,13,0,0,0,48,0,1708,167,346,439,529,3,75,0,654,21,6,6,0,0,0,0,11,7,26,1,0,0,39,5,0,0,0,0,0,0,0,31,31,0,30,1,0,28,8,11,52
Jonathan Howson,MID,EFL,M,41,3619,40,1,1,7,0,0,1,1,0,1,0,29,5,50,38,6,23,3,21,1,7,81,49,30,30,1045,1570,5,70,319,19,200,0,1,11,5,1,18,0,0,0,0,12,0,2115,34,408,149,720,6,101,0,646,128,0,0,0,0,1,1,0,0,12,0,0,0,46,11,0,0,0,0,1,0,0,71,71,0,127,0,0,2,0,1,33
Callum O''Hare,COV,EFL,M,46,3593,40,6,14,5,0,0,3,8,0,8,0,60,19,23,31,3,50,6,42,0,3,90,51,65,118,1011,1312,3,24,242,69,301,0,0,45,15,3,15,4,0,0,0,86,0,2215,141,472,348,705,3,98,0,649,35,0,0,0,0,0,0,2,0,33,0,0,0,56,4,0,0,0,0,1,0,0,8,8,0,19,1,0,8,9,3,124
Callum Brittain,BAR,EFL,D,40,3548,40,0,3,3,0,0,0,5,0,5,0,31,8,33,161,29,35,7,28,2,7,65,45,15,11,679,1205,28,38,297,70,184,0,1,17,5,0,14,3,0,0,1,33,0,2474,59,311,201,526,22,213,1,1037,130,0,0,0,0,1,0,11,10,31,0,0,0,40,11,0,0,0,0,1,0,0,74,74,0,73,0,0,2,3,0,127
Marc Guehi,SWA,EFL,D,40,3548,40,0,2,8,0,0,0,0,0,0,0,15,3,65,9,3,7,1,7,0,14,66,46,31,63,1459,1881,3,129,201,18,275,1,0,10,2,0,5,1,0,0,0,8,0,2413,27,196,137,520,9,37,0,480,203,0,0,0,0,0,0,0,0,3,0,0,0,34,16,0,0,0,0,0,0,0,103,103,0,124,1,0,3,2,0,20
Adam Armstrong,BBR,EFL,F,40,3468,40,0,9,3,0,0,28,5,1,5,0,189,85,6,42,7,41,7,36,0,0,17,11,51,32,551,728,7,14,80,49,112,1,0,133,64,26,56,21,2,0,0,47,0,1381,246,281,204,404,1,93,0,437,14,8,5,0,3,0,0,0,0,43,6,2,0,49,5,0,0,0,0,0,0,0,0,0,0,27,1,0,41,23,21,103
Kieffer Moore,CAR,EFL,F,42,3420,40,2,14,4,0,0,20,1,0,1,0,107,44,8,30,3,22,1,21,0,3,18,12,80,81,524,1036,3,440,134,33,570,0,0,92,40,20,15,4,0,0,1,66,0,1717,184,211,453,389,0,68,0,759,9,4,4,0,0,0,0,0,0,27,0,0,0,36,8,0,0,0,0,0,0,0,52,52,0,16,1,0,19,13,15,48
Callum Styles,BAR,EFL,F,42,3412,40,2,12,7,0,0,4,3,0,3,0,43,11,52,91,22,35,5,27,5,5,115,73,45,45,770,1253,12,51,269,32,243,1,0,21,3,1,22,8,3,0,1,41,0,2491,59,283,262,513,5,150,0,927,111,0,0,0,0,6,2,43,30,9,1,0,0,38,10,0,0,0,0,0,0,0,57,57,0,55,0,0,2,1,0,69
Jefferson Lerma,BOU,EFL,M,42,3350,40,2,10,11,0,1,3,2,0,2,0,39,14,42,11,3,34,5,32,0,12,36,19,55,68,1529,1971,3,113,277,26,242,0,0,16,6,1,23,8,2,0,0,23,0,2434,38,407,188,803,2,82,1,532,138,0,0,0,0,0,0,0,0,9,1,0,0,41,10,0,0,0,0,0,0,0,48,48,0,107,3,0,2,0,0,35
Lewis O''Brien,HUD,EFL,M,42,3512,39,3,3,5,0,0,3,3,0,3,0,39,14,40,55,8,45,6,42,0,12,85,42,51,64,1294,1673,8,40,246,56,244,0,0,15,6,1,24,8,2,0,0,52,0,2435,78,446,231,790,9,89,0,607,71,0,0,0,0,0,0,0,0,25,0,0,0,63,10,0,0,0,0,1,0,0,43,43,0,37,3,0,4,1,1,90
Simon Sluga,LUT,EFL,G,39,3510,39,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,5,607,1095,0,5,346,0,9,1,2,1,1,0,0,0,0,0,0,0,0,1446,1,64,1,189,0,18,0,505,191,0,0,0,0,0,0,0,0,1,0,0,0,46,12,96,62,30,8,0,4,1,31,31,11,282,0,1,0,0,0,0
Maxime Colin,BIR,EFL,D,42,3509,39,3,3,5,0,0,1,2,0,2,0,11,4,57,91,26,28,5,26,0,14,72,44,48,19,808,1226,25,59,210,27,176,0,0,8,2,1,3,2,0,0,0,18,0,2144,43,259,176,490,8,102,1,677,132,0,0,0,0,1,0,1,1,16,0,0,0,47,14,0,0,0,0,0,0,0,69,69,0,78,0,0,2,1,0,47
Nathan Byrne,DER,EFL,M,41,3466,39,2,5,10,0,0,0,4,0,3,1,9,3,44,230,59,59,12,44,11,8,66,36,50,48,1180,1588,40,48,190,45,205,1,0,5,2,0,4,1,0,1,0,26,0,2747,48,333,212,705,12,246,0,734,125,0,0,0,0,19,7,54,51,26,0,0,0,44,10,0,0,0,0,0,0,0,60,60,0,104,1,0,2,1,0,70
Ismaila Sarr,WAT,EFL,F/M,39,3462,39,0,5,5,0,0,13,4,0,4,0,86,32,21,150,17,42,11,38,0,1,34,25,62,116,801,1015,17,25,191,73,248,0,0,62,29,12,24,3,1,1,4,63,0,1917,181,384,263,594,2,150,0,627,30,2,2,0,0,0,0,5,0,55,0,0,0,27,15,0,0,0,0,0,0,0,10,10,0,32,1,0,24,4,7,146
Shaun Hutchinson,MIL,EFL,D,39,3452,39,0,1,7,0,0,1,2,0,2,0,29,8,99,16,3,13,1,8,3,25,59,38,45,33,1376,1950,3,186,219,7,282,0,1,27,8,1,2,0,0,0,0,8,0,2653,54,221,155,520,6,55,1,666,254,0,0,0,0,0,0,0,0,10,0,0,0,36,15,0,0,0,0,1,0,0,154,154,0,173,0,0,1,4,0,12
Jack Grimmer,WYW,EFL,M,40,3450,39,1,2,5,0,0,0,1,0,0,1,10,1,53,97,22,21,1,17,3,15,68,39,28,20,432,859,22,102,188,10,199,0,1,3,1,0,7,0,0,0,0,9,0,1822,12,145,157,268,23,179,1,725,102,0,0,0,0,0,0,0,0,11,0,0,0,61,8,0,0,0,0,1,0,0,102,102,0,60,0,0,1,0,0,20
Teemu Pukki,NOR,EFL,F,41,3446,39,2,23,1,0,0,26,4,0,4,0,137,58,9,13,1,54,4,50,0,6,23,9,38,31,456,609,1,9,80,19,82,0,0,121,53,26,16,5,0,0,0,42,0,1088,286,236,182,327,1,36,0,312,7,7,5,1,1,0,0,0,0,36,0,0,0,24,4,0,0,0,0,0,0,0,9,9,0,5,1,0,19,22,18,45
Ethan Pinnock,BRE,EFL,D,39,3433,39,0,1,0,0,1,1,1,0,1,0,30,3,38,12,1,9,1,8,0,27,35,22,17,12,2197,2590,1,200,162,6,253,1,0,30,3,1,0,0,0,0,0,6,0,3078,67,132,135,450,7,30,0,431,239,0,0,0,0,0,0,0,0,8,0,0,0,34,14,0,0,0,0,2,0,0,199,199,0,158,0,2,0,2,1,6
Ryan Woods,MIL,EFL,M,41,3432,39,2,12,9,0,0,0,2,0,2,0,4,1,32,8,5,29,4,26,1,10,37,24,49,29,1467,1762,4,39,324,31,136,0,3,0,0,0,4,1,0,0,0,22,0,2122,1,274,176,687,4,49,0,380,154,0,0,0,0,1,1,0,0,0,0,0,0,42,12,0,0,0,0,0,0,0,34,34,0,176,1,0,0,0,0,44
Emiliano Buendia,NOR,EFL,F/M,39,3333,39,0,22,4,2,2,15,15,0,15,0,111,38,41,168,49,121,18,77,29,3,93,53,61,78,1486,1890,5,37,229,63,271,0,0,51,24,10,60,14,5,0,2,69,0,2879,133,735,311,1140,4,316,0,735,83,1,1,0,0,28,8,128,121,19,9,0,0,26,5,0,0,0,0,0,0,0,52,52,0,138,10,0,4,10,8,101
Adam Reach,SHW,EFL,D,44,3454,38,6,5,2,0,0,5,3,0,3,0,55,18,39,168,31,37,5,32,2,2,43,29,19,22,971,1328,30,25,250,32,122,0,0,24,11,2,31,7,3,0,0,29,0,2182,74,277,152,572,5,177,1,675,91,0,0,0,0,0,0,5,4,30,0,0,0,47,9,0,0,0,0,0,0,0,45,45,0,75,2,0,4,2,1,69
Pelly Ruddock Mpanzu,LUT,EFL,M,44,3451,38,6,7,4,0,0,2,3,0,3,0,44,6,24,47,9,29,9,26,0,6,49,25,44,64,952,1262,9,40,232,45,196,0,0,16,2,1,28,4,1,0,0,71,0,1962,71,277,229,533,3,83,0,600,71,0,0,0,0,0,0,1,0,29,0,0,0,40,12,0,0,0,0,0,0,0,25,25,0,75,0,0,4,2,0,87
Anthony Lopes,OL,FRAN,G,38,3420,38,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,793,997,0,7,293,1,11,1,0,0,0,0,0,0,0,0,0,0,2,1332,0,15,3,87,0,2,0,206,83,0,0,0,0,0,0,0,0,0,0,0,0,43,11,95,58,35,10,2,7,1,27,27,7,202,0,1,0,0,0,1
Paul Bernardoni,SCO,FRAN,G,38,3420,38,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,11,432,767,0,10,299,0,18,1,0,0,0,0,0,0,0,0,0,1,0,1150,0,24,4,105,0,6,0,347,109,0,0,0,0,0,0,0,0,0,0,0,0,58,9,85,48,34,4,2,8,1,30,30,7,166,0,0,0,0,0,0
Hugo Lloris,TOT,EPL,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,622,898,0,6,304,0,10,1,0,0,0,0,0,0,0,0,0,1,0,1248,0,16,2,97,0,1,0,280,97,0,0,0,0,0,0,0,0,0,0,0,0,45,12,114,75,38,5,0,10,0,19,19,9,183,0,0,0,0,0,0
